listing_id,district,price_pen,maintenance_fee,area_total,bedrooms,bathrooms,parking_spaces,address,urbanization,photos_count
149149992,barranco,554500.0,0.0,59.0,1,2,1,"Jirón Carlos Arrieta N° 3xx, Dpto. 201 AL 1001",Barranco,1
148186713,barranco,741200.0,500.0,83.0,3,2,1,jiron TEODOCIO PARREÑO 268 URB SILVIO CABILLO BARRANCO,Barranco,1
148987652,barranco,1972000.0,0.0,220.0,4,3,2,"Calle Gonzales Prada N 1, Piso 6, Barranco",Barranco,1
147563498,barranco,803099.0,0.0,83.0,2,2,0,"Jr. 2 de Mayo Xxx, Dpto 206",Tejadita,1
146018330,barranco,716219.0,0.0,111.0,2,2,0,"Jirón 2 DE Mayo N° 1xx, Dpto. 103",Barranco,1
143173612,barranco,383847.0,0.0,39.0,1,1,1,"Av EL SOL N° 5xx, Dpto. 302 AL 2102",Barranco,10
149369202,barranco,359102.0,0.0,41.0,1,1,0,Avenida El Sol  Este  al 500,Barranco,10
146733931,barranco,6370000.0,2656.0,615.0,3,3,4,Malecon Bresciani,Barranco,10
90270875,barranco,791250.0,380.0,127.0,3,4,1,Calle Juan Fanning,Barranco,1
149874539,barranco,788455.0,0.0,81.0,2,2,0,"Jirón 2 de Mayo 150, Barranco",Barranco,1
148287487,barranco,635208.0,0.0,85.0,2,2,0,Jirón 2 de Mayo al 100,Barranco,1
149552867,barranco,401059.0,0.0,40.0,1,1,0,"Vive Barranco con Rooftop, Áreas Comunes de Primer Nivel",Barranco,1
143173637,barranco,251677.0,0.0,24.0,1,1,1,"Av EL SOL N° 5xx, Dpto. 208 AL 408",Barranco,1
4593033,barranco,893000.0,390.0,131.0,2,2,1,Calle Tacna,Barranco,1
148854793,barranco,2484000.0,1265.0,300.0,3,3,3,PAUL HARRIS,Barranco,1
148879336,barranco,1156155.0,0.0,84.0,3,2,1,"Malecón Paul Harris N° 3xx, Dpto. 202",Barranco,1
148422877,barranco,449708.0,0.0,43.0,1,1,0,"Av Grau N° 10xx, Dpto. 201 AL 2201",Barranco,1
147076883,barranco,663957.0,0.0,59.0,2,2,0,jr carlos arrieta 380,Barranco,1
143173630,barranco,524049.0,0.0,59.0,2,2,1,"Av EL SOL N° 5xx, Dpto. 1301 AL 2101",Barranco,1
145190431,barranco,439200.0,0.0,41.0,1,1,0,Enrique Barron 865,Barranco,1
149451368,barranco,496400.0,0.0,35.0,1,1,1,"Jirón Carlos Arrieta N 1xx, Piso 2, Barranco.",Barranco,1
148424100,barranco,590317.0,0.0,82.0,2,2,0,"Av Grau N° 10xx, Dpto. 103",Barranco,1
149144405,barranco,669500.0,0.0,72.0,2,2,1,Jr. Carlos Arrieta - Departamento en Venta - A 5 Minutos de la Bajada Armendariz,Barranco,1
149369291,barranco,524049.0,0.0,58.0,2,2,0,Avenida El Sol Este al 500,Barranco,1
149776306,barranco,624710.0,300.0,125.0,3,3,0,Av. Paseo de la República 6465,Barranco,1
148062778,barranco,639626.0,760.0,95.0,2,2,1,Jiron Carlos Arrieta  al 200,Barranco,1
149448617,barranco,486200.0,0.0,52.0,1,1,1,"Avenida San Martín N Xxx, Piso 107, Barranco.",Barranco,1
148423057,barranco,608665.0,0.0,57.0,2,2,0,"Av Grau N° 10xx, Dpto. 406 AL 2206",Barranco,1
149108382,barranco,902825.0,0.0,123.0,2,3,2,"Jirón Carlos Arrieta N 2, Piso 3, Urb. La Viñita, Barranco",Barranco,1
90271227,barranco,993750.0,550.0,158.0,2,2,2,Av. San Martín,Barranco,1
149276729,barranco,385000.0,300.0,77.0,2,2,0,Jirón Tejada al 100,Barranco,1
149743843,barranco,478485.0,0.0,46.0,1,1,1,Av. Malecón Costa Sur - Chorrillos - Límite con Barranco,Barranco,1
148738275,barranco,1285815.0,0.0,146.0,3,2,0,Malecón Costa Sur- Vista al mar  Chorrillos,Barranco,1
146776571,barranco,943500.0,0.0,89.0,1,1,0,Av. San Martin 755,Barranco,1
146007021,barranco,696218.0,499.0,83.0,2,2,0,AVENIDA PEDRO DE OSMA,Barranco,1
149651445,barranco,624600.0,350.0,62.0,2,2,1,Av el sol Oeste  161,Barranco,10
146134882,barranco,675500.0,0.0,75.0,2,2,0,Manuel Gonzales Prada - Venta de Departamento Ubicado en Barranco Frente a Parque,Barranco,10
143173633,barranco,329847.0,0.0,38.0,1,1,1,"Av EL SOL N° 5xx, Dpto. 304 AL 604",Barranco,10
149634972,barranco,5300000.0,720.0,560.0,3,4,2,Puente de la Paz,Barranco,1
149091122,barranco,502399.0,0.0,59.0,2,2,0,Av. El Sol al 500,Barranco,1
145171792,barranco,6460000.0,1800.0,560.0,3,4,3,Malecón Paul Harris,Barranco,1
148879325,barranco,1237456.0,0.0,90.0,3,2,1,"Malecón Paul Harris N° 3xx, Dpto. 201 AL 401",Barranco,1
149560785,barranco,329550.0,0.0,54.0,1,1,0,Jr. Pedro Heraud,Barranco,1
149273023,barranco,542500.0,0.0,92.0,3,2,1,Jirón Tejada   100,Barranco,1
146768808,barranco,536500.0,1.0,38.0,1,1,1,"Av Pedro De Osma, Barranco",Barranco,1
148465465,barranco,715841.0,2.0,78.0,2,3,0,JR.2 DE MAYO,Barranco,1
4647749,barranco,690000.0,0.0,137.0,3,3,1,Catalino Miranda,Barranco,1
149610106,barranco,420000.0,350.0,33.0,1,1,1,Jr. Martinez de Pinillos- A 1 Cuadra del Malecón Dpto Amoblado con Cochera y Depósito,Barranco,1
149874525,barranco,830000.0,350.0,98.0,3,2,1,Avenida el Sol 428,Barranco,1
146556425,barranco,402943.0,0.0,40.0,1,1,0,Av. Almirante Miguel Grau 1020,Barranco,1
148049495,barranco,696219.0,0.0,83.0,2,2,1,2 de Mayo,Barranco,1
148357076,barranco,578116.0,0.0,54.0,2,2,0,Pasaje Bustamante - Departamento de Estreno en Venta Frente a Parque,Barranco,1
4637609,barranco,520819.0,0.0,48.0,1,1,1,El Sol Oeste,Barranco,1
